"from","to","database","source"
"C4BPA","CD40","omnipath","omnipath"
"C4BPA","LRP1","omnipath","omnipath"
"C5","C5AR1","omnipath","omnipath"
"C5","C5AR2","omnipath","omnipath"
"C6orf15","DDR1","omnipath","omnipath"
"CA12","SIGLEC6","omnipath","omnipath"
"CADM1","CADM1","nichenet_verschueren","nichenet_verschueren"
"CADM1","CADM3","omnipath","omnipath"
"CADM1","NECTIN3","omnipath","omnipath"
"CADM1","ERBB3","omnipath","omnipath"
"CADM2","CADM3","nichenet_verschueren","nichenet_verschueren"
"CADM2","CADM4","nichenet_verschueren","nichenet_verschueren"
"CADM2","CADM1","omnipath","omnipath"
"CADM3","CADM3","nichenet_verschueren","nichenet_verschueren"
"CADM3","IL2RG","nichenet_verschueren","nichenet_verschueren"
"CADM3","PRLR","nichenet_verschueren","nichenet_verschueren"
"CADM3","CADM4","nichenet_verschueren","nichenet_verschueren"
"CADM3","LRCH4","nichenet_verschueren","nichenet_verschueren"
"CADM3","CFAP54","nichenet_verschueren","nichenet_verschueren"
"CADM3","NECTIN1","omnipath","omnipath"
"CADM3","CADM1","omnipath","omnipath"
"CADM3","NECTIN3","omnipath","omnipath"
"CADM3","CADM2","omnipath","omnipath"
"CADM3","PEAR1","omnipath","omnipath"
"CADM4","MAG","omnipath","omnipath"
"CADM4","ERBB3","omnipath","omnipath"
"CADM4","CADM3","omnipath","omnipath"
"CADM4","SDK2","omnipath","omnipath"
"CADM4","CADM2","omnipath","omnipath"
"CALCA","CALCRL","omnipath","omnipath"
"CALCA","RAMP2","omnipath","omnipath"
"CALCA","RAMP3","omnipath","omnipath"
"CALCA","CALCR","omnipath","omnipath"
"CALCA","RAMP1","omnipath","omnipath"
"CALCB","CALCRL","omnipath","omnipath"
"CALCB","RAMP2","omnipath","omnipath"
"CALCB","RAMP3","omnipath","omnipath"
"CALCB","CALCR","omnipath","omnipath"
"CALCB","RAMP1","omnipath","omnipath"
"CALM1","CNGA2","nichenet_verschueren","nichenet_verschueren"
"CALM1","KCNH1","nichenet_verschueren","nichenet_verschueren"
"CALM1","MYLK","nichenet_verschueren","nichenet_verschueren"
"CALM1","MYLK2","nichenet_verschueren","nichenet_verschueren"
"CALM1","PDE1A","nichenet_verschueren","nichenet_verschueren"
"CALM1","PDE1B","nichenet_verschueren","nichenet_verschueren"
"CALM1","PDE1C","nichenet_verschueren","nichenet_verschueren"
"CALM2","CNGA2","nichenet_verschueren","nichenet_verschueren"
"CALM2","KCNH1","nichenet_verschueren","nichenet_verschueren"
"CALM2","MYLK","nichenet_verschueren","nichenet_verschueren"
"CALM2","MYLK2","nichenet_verschueren","nichenet_verschueren"
"CALM2","PDE1A","nichenet_verschueren","nichenet_verschueren"
"CALM2","PDE1B","nichenet_verschueren","nichenet_verschueren"
