"from","to","database","source"
"AU040320","Mpzl3","omnipath","omnipath"
"AU040320","Siglecf","nichenet_verschueren","nichenet_verschueren"
"AU040320","Siglece","nichenet_verschueren","nichenet_verschueren"
"AU040320","Unc5a","omnipath","omnipath"
"Avp","Aqp2","omnipath","omnipath"
"Avp","Avpr1a","omnipath","omnipath"
"Avp","Avpr1b","omnipath","omnipath"
"Avp","Avpr2","omnipath","omnipath"
"Avp","Oxtr","omnipath","omnipath"
"Azgp1","Itgav","omnipath","omnipath"
"B2m","Klrc1","omnipath","omnipath"
"B2m","Klrc3","omnipath","omnipath"
"B2m","Klrc2","omnipath","omnipath"
"B2m","Klrd1","omnipath","omnipath"
"B2m","Tap1","omnipath","omnipath"
"B2m","Tap2","omnipath","omnipath"
"Bace1","App","omnipath","omnipath"
"Bace1","Selplg","omnipath","omnipath"
"Bace2","App","omnipath","omnipath"
"BC053393","Cd300lb","omnipath","omnipath"
"BC053393","Igsf21","omnipath","omnipath"
"BC053393","Siglec1","omnipath","omnipath"
"BC053393","Timd4","omnipath","omnipath"
"Bcan","Egfr","omnipath","omnipath"
"Bcan","Nrcam","omnipath","omnipath"
"Bdnf","Drd4","omnipath","omnipath"
"Bdnf","Erbb2","omnipath","omnipath"
"Bdnf","Ngfr","omnipath","omnipath"
"Bdnf","Ntrk2","omnipath","omnipath"
"Bdnf","Sort1","omnipath","omnipath"
"Bgn","Fgfr3","omnipath","omnipath"
"Bgn","Tlr1","omnipath","omnipath"
"Bgn","Tlr2","omnipath","omnipath"
"Bgn","Tlr4","omnipath","omnipath"
"Bmp1","Bmpr1a","omnipath","omnipath"
"Bmp1","Bmpr1b","omnipath","omnipath"
"Bmp1","Bmpr2","omnipath","omnipath"
"Bmp10","Acvr1","omnipath","omnipath"
"Bmp10","Acvr2a","omnipath","omnipath"
"Bmp10","Acvr2b","nichenet_verschueren","nichenet_verschueren"
"Bmp10","Acvrl1","omnipath","omnipath"
"Bmp10","Bmpr1a","omnipath","omnipath"
"Bmp10","Bmpr1b","omnipath","omnipath"
"Bmp10","Bmpr2","omnipath","omnipath"
"Bmp10","Eng","omnipath","omnipath"
"Bmp15","Acvr1","nichenet_verschueren","nichenet_verschueren"
"Bmp15","Acvr2a","omnipath","omnipath"
"Bmp15","Acvr2b","omnipath","omnipath"
"Bmp15","Bmpr1a","omnipath","omnipath"
"Bmp15","Bmpr1b","omnipath","omnipath"
"Bmp15","Bmpr2","omnipath","omnipath"
"Bmp15","Tgfbr1","omnipath","omnipath"
"Bmp2","Acvr1","omnipath","omnipath"
"Bmp2","Acvr2a","omnipath","omnipath"
"Bmp2","Acvr2b","omnipath","omnipath"
"Bmp2","Bmpr1a","omnipath","omnipath"
"Bmp2","Bmpr1b","omnipath","omnipath"
"Bmp2","Bmpr2","omnipath","omnipath"
"Bmp2","Eng","omnipath","omnipath"
"Bmp2","Hjv","omnipath","omnipath"
"Bmp3","Acvr1","nichenet_verschueren","nichenet_verschueren"
"Bmp3","Acvr1b","omnipath","omnipath"
"Bmp3","Acvr2a","omnipath","omnipath"
"Bmp3","Acvr2b","omnipath","omnipath"
"Bmp3","Bmpr1a","omnipath","omnipath"
"Bmp3","Bmpr1b","omnipath","omnipath"
"Bmp3","Bmpr2","omnipath","omnipath"
"Bmp4","Acvr1","nichenet_verschueren","nichenet_verschueren"
"Bmp4","Acvr2a","omnipath","omnipath"
"Bmp4","Acvr2b","omnipath","omnipath"
"Bmp4","Bmpr1a","omnipath","omnipath"
"Bmp4","Bmpr1b","omnipath","omnipath"
"Bmp4","Bmpr2","omnipath","omnipath"
"Bmp4","Grem2","omnipath","omnipath"
"Bmp5","Acvr1","omnipath","omnipath"
"Bmp5","Acvr2a","omnipath","omnipath"
"Bmp5","Acvr2b","omnipath","omnipath"
"Bmp5","Bmpr1a","omnipath","omnipath"
"Bmp5","Bmpr1b","omnipath","omnipath"
"Bmp5","Bmpr2","omnipath","omnipath"
"Bmp5","Hjv","omnipath","omnipath"
"Bmp5","Ptprd","omnipath","omnipath"
"Bmp6","Acvr1","omnipath","omnipath"
"Bmp6","Acvr2a","omnipath","omnipath"
"Bmp6","Acvr2b","omnipath","omnipath"
"Bmp6","Amhr2","omnipath","omnipath"
"Bmp6","Bmpr1a","omnipath","omnipath"
"Bmp6","Bmpr1b","omnipath","omnipath"
"Bmp6","Bmpr2","omnipath","omnipath"
"Bmp6","Hjv","omnipath","omnipath"
"Bmp7","Acvr1","omnipath","omnipath"
"Bmp7","Acvr2a","omnipath","omnipath"
"Bmp7","Acvr2b","omnipath","omnipath"
"Bmp7","Bmpr1a","omnipath","omnipath"
"Bmp7","Bmpr1b","omnipath","omnipath"
"Bmp7","Bmpr2","omnipath","omnipath"
"Bmp7","Eng","omnipath","omnipath"
"Bmp8a","Acvr1","omnipath","omnipath"
"Bmp8a","Acvr2a","omnipath","omnipath"
"Bmp8a","Acvr2b","omnipath","omnipath"
"Bmp8a","Bmpr1a","omnipath","omnipath"
"Bmp8a","Bmpr1b","omnipath","omnipath"
"Bmp8a","Bmpr2","omnipath","omnipath"
"Bmp8a","Tgfbr1","omnipath","omnipath"
"Bmp8a","Tgfbr2","omnipath","omnipath"
"Boc","Lilra6","omnipath","omnipath"
"Boc","Ptch1","omnipath","omnipath"
"Boc","Ptch2","omnipath","omnipath"
"Boc","Smo","omnipath","omnipath"
"Bpi","Slamf9","omnipath","omnipath"
"Bst2","Pira1","omnipath","omnipath"
"Bst2","Pira12","omnipath","omnipath"
"Bst2","Lilra5","omnipath","omnipath"
"Bst2","Lilra6","omnipath","omnipath"
"Bst2","Pira2","omnipath","omnipath"
"Bst2","Pirb","omnipath","omnipath"
"Bst2","Pira13","omnipath","omnipath"
"Btc","Egfr","omnipath","omnipath"
"Btc","Erbb2","omnipath","omnipath"
"Btc","Erbb3","omnipath","omnipath"
"Btc","Erbb4","omnipath","omnipath"
"Btla","Cd247","omnipath","omnipath"
"Btla","Cd276","omnipath","omnipath"
"Btla","Cd79a","omnipath","omnipath"
"Btla","Tnfrsf14","omnipath","omnipath"
"Btla","Vtcn1","omnipath","omnipath"
"Btn1a1","Jaml","omnipath","omnipath"
"Btn1a1","Negr1","omnipath","omnipath"
"Btn1a1","Tarm1","omnipath","omnipath"
"Btnl9","Il6ra","nichenet_verschueren","nichenet_verschueren"
"Btnl9","Lrfn5","omnipath","omnipath"
"C1qa","Cd33","omnipath","omnipath"
"C1qa","Cd93","omnipath","omnipath"
"C1qa","Cr1l","omnipath","omnipath"
"C1qa","Cspg4","omnipath","omnipath"
"C1qb","Cd33","omnipath","omnipath"
"C1qb","Lrp1","omnipath","omnipath"
"C1qtnf1","Avpr2","omnipath","omnipath"
"C1qtnf5","Mfrp","omnipath","omnipath"
"C3","C3ar1","omnipath","omnipath"
"C3","C5ar2","omnipath","omnipath"
"C3","Cd19","omnipath","omnipath"
"C3","Cd46","omnipath","omnipath"
"C3","Cr1l","omnipath","omnipath"
"C3","Cr2","omnipath","omnipath"
"C3","Itgam","omnipath","omnipath"
"C3","Gm49368","omnipath","omnipath"
"C3","Itgax","omnipath","omnipath"
"C3","Itgb2","omnipath","omnipath"
"C3","Itgb2l","omnipath","omnipath"
"C3","Lrp1","omnipath","omnipath"
"C3","Vsig4","omnipath","omnipath"
"C4b","C3ar1","omnipath","omnipath"
"C4b","C5ar2","omnipath","omnipath"
"C4b","Cd46","omnipath","omnipath"
"C4b","Cr1l","omnipath","omnipath"
"C4b","Cr2","omnipath","omnipath"
"C4b","Nrp1","omnipath","omnipath"
"C4bp","Bmpr2","omnipath","omnipath"
"C4bp","Cd40","omnipath","omnipath"
"C4bp","Lrp1","omnipath","omnipath"
"Cadm1","Cadm1","nichenet_verschueren","nichenet_verschueren"
"Cadm1","Cadm3","omnipath","omnipath"
"Cadm1","Erbb3","omnipath","omnipath"
"Cadm1","Nectin3","omnipath","omnipath"
"Cadm2","Cadm1","omnipath","omnipath"
"Cadm2","Cadm3","nichenet_verschueren","nichenet_verschueren"
"Cadm2","Cadm4","nichenet_verschueren","nichenet_verschueren"
"Cadm3","Cadm1","omnipath","omnipath"
"Cadm3","Cadm2","omnipath","omnipath"
"Cadm3","Cadm3","nichenet_verschueren","nichenet_verschueren"
"Cadm3","Cadm4","nichenet_verschueren","nichenet_verschueren"
"Cadm3","Cfap54","nichenet_verschueren","nichenet_verschueren"
"Cadm3","Il2rg","nichenet_verschueren","nichenet_verschueren"
"Cadm3","Lrch4","nichenet_verschueren","nichenet_verschueren"
"Cadm3","Gm20605","nichenet_verschueren","nichenet_verschueren"
"Cadm3","Nectin1","omnipath","omnipath"
"Cadm3","Nectin3","omnipath","omnipath"
"Cadm3","Pear1","omnipath","omnipath"
"Cadm3","Prlr","nichenet_verschueren","nichenet_verschueren"
"Cadm4","Cadm2","omnipath","omnipath"
"Cadm4","Cadm3","omnipath","omnipath"
"Cadm4","Erbb3","omnipath","omnipath"
"Cadm4","Mag","omnipath","omnipath"
"Cadm4","Sdk2","omnipath","omnipath"
"Calca","Calcr","omnipath","omnipath"
"Calca","Calcrl","omnipath","omnipath"
"Calca","Ramp1","omnipath","omnipath"
"Calca","Ramp2","omnipath","omnipath"
"Calca","Ramp3","omnipath","omnipath"
"Calcb","Calcr","omnipath","omnipath"
"Calcb","Calcrl","omnipath","omnipath"
"Calcb","Ramp1","omnipath","omnipath"
"Calcb","Ramp2","omnipath","omnipath"
"Calcb","Ramp3","omnipath","omnipath"
"Calm1","Cnga2","nichenet_verschueren","nichenet_verschueren"
"Calm1","Kcnh1","nichenet_verschueren","nichenet_verschueren"
